시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
부산광역시 남구1,부산광역시 남구 대연동(박영호치과 부근),4,4,0,3,1,0,129.0943653,35.13528423
부산광역시 남구2,부산광역시 남구 대연동(용소 삼거리 부근),4,4,0,1,3,0,129.1003633,35.13668379
부산광역시 북구1,부산광역시 북구 덕천동(수정마을주공아파트 부근),8,9,0,9,0,0,129.0085386,35.22258928
부산광역시 북구2,부산광역시 북구 만덕동(아침바다 부근),6,7,0,4,2,1,129.0347188,35.21082192
부산광역시 해운대구1,부산광역시 해운대구 반여동(코끼리양분식 부근),7,7,0,3,4,0,129.130858,35.19631129
부산광역시 해운대구2,부산광역시 해운대구 우동(세차뱅크 부근),4,4,0,3,1,0,129.1562766,35.15855333
부산광역시 해운대구3,부산광역시 해운대구 재송동(동부지청어귀 부근),4,4,0,3,1,0,129.1238652,35.18380692
부산광역시 사하구1,부산광역시 사하구 괴정동(괴정교차로 부근),9,9,1,8,0,0,128.9931315,35.09993458
부산광역시 금정구1,부산광역시 금정구 장전동(제일카인테리어 부근),6,9,0,5,4,0,129.0854656,35.22366269
부산광역시 금정구2,부산광역시 금정구 장전동(부산대학앞전철역 부근),6,7,0,3,4,0,129.0892942,35.22971802
부산광역시 금정구3,부산광역시 금정구 금사동(은혜약국 부근),4,4,0,3,1,0,129.1073551,35.21422781
부산광역시 금정구4,부산광역시 금정구 부곡동(굿모닝치과 부근),3,3,1,2,0,0,129.0922522,35.23827832
부산광역시 금정구5,부산광역시 금정구 장전동(장전중앙교회A 부근),3,3,1,1,1,0,129.0872224,35.23415605
부산광역시 연제구1,부산광역시 연제구 연산동(꼬모미술 부근),7,7,1,5,0,1,129.0967565,35.18568726
부산광역시 연제구2,부산광역시 연제구 연산동(인텔부엌가구 부근),6,6,0,4,2,0,129.1071406,35.18828468
부산광역시 연제구3,부산광역시 연제구 연산동(BBQ치킨 부근),4,4,0,2,2,0,129.0832828,35.17507309
부산광역시 수영구1,부산광역시 수영구 망미동(배산한의원 부근),7,9,0,7,2,0,129.1006244,35.17311281
부산광역시 수영구2,부산광역시 수영구 망미동(부산액자 부근),5,5,1,2,2,0,129.1104636,35.17448472
부산광역시 수영구3,부산광역시 수영구 광안동(반석종합페인트 부근),4,4,0,3,1,0,129.1110742,35.15037511
부산광역시 사상구1,부산광역시 사상구 감전동(김교진비뇨기과 부근),6,6,0,3,3,0,128.9833309,35.15635985
대구광역시 중구1,대구광역시 중구 삼덕동1가(공평네거리 부근),7,9,1,6,1,1,128.5998025,35.86923053
대구광역시 중구2,대구광역시 중구 달성동(동아극장 부근),5,5,0,2,3,0,128.5837084,35.87728585
대구광역시 동구1,대구광역시 동구 신암동(파티마삼거리 부근),5,7,1,5,1,0,128.6239582,35.88304725
대구광역시 동구2,대구광역시 동구 신암동(- 인근),5,6,0,3,3,0,128.6064423,35.88384929
대구광역시 동구3,대구광역시 동구 신서동(대신주유소1 부근),4,5,2,2,0,1,128.7292405,35.86971515
대구광역시 서구1,대구광역시 서구 비산동(구두병원 부근),10,10,2,7,1,0,128.5709174,35.86755612
대구광역시 서구2,대구광역시 서구 내당동(감삼사거리 부근),7,8,1,5,1,1,128.5483818,35.85373492
대구광역시 남구1,대구광역시 남구 대명동(김주윤회계사무소 부근),8,11,1,6,4,0,128.5616219,35.83864991
대구광역시 북구1,대구광역시 북구 칠성동2가(칠성시장네거리 부근),10,11,0,8,2,1,128.6035479,35.87637358
대구광역시 북구2,대구광역시 북구 대현동(성우상회 부근),4,4,0,4,0,0,128.6125689,35.88056134
대구광역시 북구3,대구광역시 북구 침산동(북침산네거리 부근),4,5,0,3,1,1,128.5897683,35.89187236
대구광역시 북구4,대구광역시 북구 동천동(부영2차아파트 부근),4,4,0,2,2,0,128.5619378,35.94173443
대구광역시 수성구1,대구광역시 수성구 수성동3가(수성시장네거리 부근),9,9,1,6,1,1,128.6170554,35.85385532
대구광역시 수성구2,대구광역시 수성구 범어동(MBC네거리 부근),9,10,1,5,4,0,128.6255885,35.86622541
대구광역시 수성구3,대구광역시 수성구 만촌동(토큰박스 부근),7,8,0,6,2,0,128.6411427,35.87450537
대구광역시 수성구4,대구광역시 수성구 중동(북중동네거리 부근),6,6,1,4,1,0,128.6129199,35.84834059
대구광역시 수성구5,대구광역시 수성구 상동(중동네거리 부근),5,6,2,2,2,0,128.6117574,35.84084081
대구광역시 수성구6,대구광역시 수성구 범물동(범물네거리 부근),5,6,0,3,3,0,128.6391459,35.82091846
대구광역시 수성구7,대구광역시 수성구 범물동(두산오거리 부근),4,4,1,1,2,0,128.6229764,35.83005372
대구광역시 수성구8,대구광역시 수성구 범물동(범물치안센터 부근),4,4,1,1,2,0,128.6459569,35.81827796
대구광역시 수성구9,대구광역시 수성구 만촌동(효신네거리 부근),4,4,0,4,0,0,128.6332888,35.87047831
대구광역시 수성구10,대구광역시 수성구 신매동(신매네거리 부근),4,4,0,3,0,1,128.7043153,35.84068407
대구광역시 달서구1,대구광역시 달서구 성당동(용산네거리 부근),9,9,1,6,2,0,128.5326249,35.84968679
대구광역시 달서구2,대구광역시 달서구 신당동(성서농협신당지소 부근),6,7,0,4,1,2,128.4920174,35.85536215
대구광역시 달서구3,대구광역시 달서구 상인동(월곡네거리 부근),4,4,2,1,1,0,128.5483782,35.80827953
대구광역시 달서구4,대구광역시 달서구 진천동(진천네거리 부근),4,6,0,3,3,0,128.5242284,35.81410271
대구광역시 달서구5,대구광역시 달서구 대천동(신일해피트리공사중 부근),4,4,0,2,2,0,128.5200639,35.81888143
대구광역시 달서구6,대구광역시 달서구 송현동(본동주공아파트 부근),4,4,0,1,2,1,128.5440521,35.82757297
대구광역시 달서구7,대구광역시 달서구 월성동(영남코아 부근),4,4,0,1,2,1,128.5343946,35.82386987
대구광역시 달성군1,대구광역시 달성군 다사읍(에이스상설의류할인점 부근),4,4,1,3,0,0,128.4961999,35.87228579
인천광역시 중구1,인천광역시 중구 신흥동2가(신흥사거리 부근),4,5,0,3,2,0,126.635344,37.4673858
인천광역시 남구1,인천광역시 남구 주안동(주안역삼거리 부근),9,12,0,10,2,0,126.6803087,37.4642355
인천광역시 남구2,인천광역시 남구 학익동(동서남북중개사 부근),7,7,0,4,3,0,126.6731673,37.43933643
인천광역시 남구3,인천광역시 남구 도화동(도화초등교사거리 부근),6,6,1,4,1,0,126.668863,37.46420121
인천광역시 남구4,인천광역시 남구 숭의동(숭의오거리 부근),5,6,1,5,0,0,126.648637,37.45893132
인천광역시 남구5,인천광역시 남구 숭의동(GS칼텍스(주)인천금강점 부근),4,7,0,3,3,1,126.640327,37.46297403
인천광역시 연수구1,인천광역시 연수구 선학동(선학역사거리 부근),4,4,0,4,0,0,126.6993615,37.42284665
인천광역시 연수구2,인천광역시 연수구 선학동(신연수역사거리 부근),4,4,0,4,0,0,126.6931503,37.41830775
인천광역시 남동구1,인천광역시 남동구 구월동(문예회관사거리 부근),8,9,0,4,5,0,126.700903,37.4488469
인천광역시 남동구2,인천광역시 남동구 만수동(민수주공사거리 부근),7,8,0,4,4,0,126.7319072,37.45620987
인천광역시 남동구3,인천광역시 남동구 간석동(한샘학원 부근),5,5,0,5,0,0,126.6968917,37.46992797
