시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
서울특별시 은평구2,서울특별시 은평구 구산동(예일여고 부근),3,3,0,1,2,0,126.915232,37.60989816
서울특별시 양천구1,서울특별시 양천구 신정동(오목교(서단) 부근),3,4,0,2,1,1,126.8771423,37.52300146
서울특별시 양천구2,서울특별시 양천구 신월동(선주빌라 부근),3,4,0,0,4,0,126.8302517,37.53285083
서울특별시 강서구1,서울특별시 강서구 화곡동(화곡대림 부근),6,7,0,3,4,0,126.8374976,37.53368879
서울특별시 강서구2,서울특별시 강서구 내발산동(우장산역 부근),3,3,0,1,2,0,126.8347295,37.54796675
서울특별시 구로구1,서울특별시 구로구 구로동(구로종합사회복지관 부근),8,8,0,3,5,0,126.8898156,37.48712874
서울특별시 금천구1,서울특별시 금천구 시흥동(평화교회 부근),3,3,0,1,2,0,126.9123749,37.45011462
서울특별시 영등포구1,서울특별시 영등포구 당산동5가(당서초교후문 부근),4,4,0,3,1,0,126.900302,37.53196011
서울특별시 동작구1,서울특별시 동작구 상도동(건영약수맨션아파트 부근),5,7,0,2,4,1,126.9440248,37.49867008
서울특별시 동작구2,서울특별시 동작구 대방동(남부교회 부근),3,3,0,0,2,1,126.931705,37.50876093
서울특별시 강남구1,서울특별시 강남구 역삼동(한솔필리아 부근),3,3,0,1,2,0,127.0491135,37.50000193
서울특별시 강남구2,서울특별시 강남구 대치동(대치역 부근),3,4,0,0,4,0,127.0617899,37.49400061
서울특별시 송파구1,서울특별시 송파구 가락동(송파중교 부근),4,4,0,1,1,2,127.1313213,37.49613505
서울특별시 송파구2,서울특별시 송파구 잠실동(신천역 부근),3,3,0,1,1,1,127.0853895,37.51160891
서울특별시 송파구3,서울특별시 송파구 잠실동(잠전초교입구 부근),3,3,0,0,2,1,127.0833879,37.50704121
서울특별시 강동구1,서울특별시 강동구 명일동 대명초등학교 부근,3,3,0,1,1,1,127.1535176,37.54809025
서울특별시 강동구2,서울특별시 강동구 성내동(강동농협둔촌지소 부근),3,3,0,0,2,1,127.1307068,37.53034958
부산광역시 사하구1,부산광역시 사하구 하단동(경인약국 부근),3,3,0,2,1,0,128.9582657,35.09886893
부산광역시 사하구2,부산광역시 사하구 당리동(킹스할인클럽 부근),3,3,0,1,2,0,128.9752005,35.10644506
부산광역시 기장군1,부산광역시 기장군 정관면(정관롯데캐슬 부근),3,3,0,2,1,0,129.1700472,35.32593262
대구광역시 서구1,대구광역시 서구 내당동(KOR K-2 총판 부근),4,4,0,2,2,0,128.5640544,35.86527099
대구광역시 북구1,대구광역시 북구 서변동(월드메르디앙 부근),3,4,0,2,2,0,128.5970317,35.91902265
대구광역시 북구2,대구광역시 북구 동천동(지캠프 부근),3,3,0,1,2,0,128.5610743,35.94180833
대구광역시 달서구1,대구광역시 달서구 상인동(상인대성스카이렉스 부근),6,6,0,2,3,1,128.5333349,35.8183476
대구광역시 달서구2,대구광역시 달서구 상인동 대구월서초등학교 부근,4,5,0,1,4,0,128.5316156,35.82212667
대구광역시 달서구3,대구광역시 달서구 대천동(현대부품남부대리점 부근),3,3,0,2,0,1,128.5228679,35.81715576
대구광역시 달서구4,대구광역시 달서구 월성동(구두수선 부근),3,3,0,0,3,0,128.5312766,35.83166732
대구광역시 달성군1,대구광역시 달성군 논공읍(신소희헤어 부근),3,3,0,0,3,0,128.4408293,35.73097263
인천광역시 남구1,인천광역시 남구 도화동(일신목욕탕 부근),3,3,0,1,2,0,126.6678984,37.46819325
인천광역시 서구1,인천광역시 서구 경서동(경서지구토지구획정리사업공사현장사무소 부근),3,3,0,0,1,2,126.6536223,37.55719237
광주광역시 서구1,광주광역시 서구 쌍촌동(모아제일아파트앞 부근),4,4,0,1,3,0,126.8631464,35.15924759
광주광역시 서구2,광주광역시 서구 동천동(동남아파트 부근),3,3,0,1,2,0,126.8604542,35.16868451
광주광역시 서구3,광주광역시 서구 동천동(호반베르디움아파트 부근),3,3,0,0,3,0,126.8675193,35.17085127
광주광역시 서구4,광주광역시 서구 내방동(518기념공원앞 부근),3,3,0,0,3,0,126.8582906,35.15863992
광주광역시 서구5,광주광역시 서구 치평동(윤빈헤어모드 부근),3,3,0,0,3,0,126.847432,35.14928259
